img,num,basicLoop.thisRepN,basicLoop.thisTrialN,basicLoop.thisN,basicLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,key_resp_2.keys,key_resp_2.rt,basicRating1.response,basicRating1.rt,basicRating2.response,basicRating2.rt,basicRating3.response,basicRating3.rt,basicRating4.response,basicRating4.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,date,group,expName,participant,frameRate,
,,,,,,,,,,,,,,return,44.1047511101,,,,,,,,,,,,,,,,,,,,,,,2015_Oct_20_1717,G,facesParametric,18,59.6850893433,
./basicStim/36M_FE_O.jpg,,0,0,0,79,,,,,,,,,,,None,None,None,None,SUP,5.5,None,None,,,,,,,,,,,,,,,2015_Oct_20_1717,G,facesParametric,18,59.6850893433,
./basicStim/34M_FE_O.jpg,,0,1,1,72,,,,,,,,,,,None,None,None,None,SUP,5.3,None,None,,,,,,,,,,,,,,,2015_Oct_20_1717,G,facesParametric,18,59.6850893433,
./basicStim/01F_SA_C.jpg,,0,2,2,4,,,,,,,,,,,SAD,3.441,None,None,None,None,None,None,,,,,,,,,,,,,,,2015_Oct_20_1717,G,facesParametric,18,59.6850893433,
./basicStim/07F_DI_O.jpg,,0,3,3,29,,,,,,,,,,,None,None,None,None,DIS,2.167,None,None,,,,,,,,,,,,,,,2015_Oct_20_1717,G,facesParametric,18,59.6850893433,
./basicStim/06F_DI_O.jpg,,0,4,4,22,,,,,,,,,,,None,None,None,None,DIS,1.446,None,None,,,,,,,,,,,,,,,2015_Oct_20_1717,G,facesParametric,18,59.6850893433,
./basicStim/02F_FE_O.jpg,,0,5,5,9,,,,,,,,,,,None,None,FEA,3.758,None,None,None,None,,,,,,,,,,,,,,,2015_Oct_20_1717,G,facesParametric,18,59.6850893433,
./basicStim/36M_AN_O.jpg,,0,6,6,77,,,,,,,,,,,None,None,ANG,3.07,None,None,None,None,,,,,,,,,,,,,,,2015_Oct_20_1717,G,facesParametric,18,59.6850893433,
./basicStim/24M_FE_O.jpg,,0,7,7,58,,,,,,,,,,,None,None,None,None,SUP,4.04,None,None,,,,,,,,,,,,,,,2015_Oct_20_1717,G,facesParametric,18,59.6850893433,
./basicStim/23M_HA_O.jpg,,0,8,8,52,,,,,,,,,,,HAP,2.22,None,None,None,None,None,None,,,,,,,,,,,,,,,2015_Oct_20_1717,G,facesParametric,18,59.6850893433,
./basicStim/34M_HA_O.jpg,,0,9,9,73,,,,,,,,,,,HAP,1.058,None,None,None,None,None,None,,,,,,,,,,,,,,,2015_Oct_20_1717,G,facesParametric,18,59.6850893433,
./basicStim/07F_SA_C.jpg,,0,10,10,32,,,,,,,,,,,SAD,1.933,None,None,None,None,None,None,,,,,,,,,,,,,,,2015_Oct_20_1717,G,facesParametric,18,59.6850893433,
./basicStim/28M_NE_C.jpg,,0,11,11,69,,,,,,,,,,,SAD,2.074,None,None,None,None,None,None,,,,,,,,,,,,,,,2015_Oct_20_1717,G,facesParametric,18,59.6850893433,
./basicStim/24M_NE_C.jpg,,0,12,12,62,,,,,,,,,,,None,None,ANG,3.772,None,None,None,None,,,,,,,,,,,,,,,2015_Oct_20_1717,G,facesParametric,18,59.6850893433,
./basicStim/24M_AN_O.jpg,,0,13,13,56,,,,,,,,,,,None,None,ANG,0.777,None,None,None,None,,,,,,,,,,,,,,,2015_Oct_20_1717,G,facesParametric,18,59.6850893433,
./basicStim/28M_SA_C.jpg,,0,14,14,67,,,,,,,,,,,None,None,None,None,SUP,6.791,None,None,,,,,,,,,,,,,,,2015_Oct_20_1717,G,facesParametric,18,59.6850893433,
./basicStim/24M_SA_C.jpg,,0,15,15,60,,,,,,,,,,,SAD,3.448,None,None,None,None,None,None,,,,,,,,,,,,,,,2015_Oct_20_1717,G,facesParametric,18,59.6850893433,
./basicStim/23M_FE_O.jpg,,0,16,16,51,,,,,,,,,,,None,None,None,None,SUP,4.174,None,None,,,,,,,,,,,,,,,2015_Oct_20_1717,G,facesParametric,18,59.6850893433,
./basicStim/03F_HA_O.jpg,,0,17,17,17,,,,,,,,,,,HAP,1.497,None,None,None,None,None,None,,,,,,,,,,,,,,,2015_Oct_20_1717,G,facesParametric,18,59.6850893433,
./basicStim/34M_AN_O.jpg,,0,18,18,70,,,,,,,,,,,None,None,ANG,3.809,None,None,None,None,,,,,,,,,,,,,,,2015_Oct_20_1717,G,facesParametric,18,59.6850893433,
./basicStim/07F_FE_O.jpg,,0,19,19,30,,,,,,,,,,,None,None,None,None,SUP,2.35,None,None,,,,,,,,,,,,,,,2015_Oct_20_1717,G,facesParametric,18,59.6850893433,
./basicStim/36M_NE_C.jpg,,0,20,20,83,,,,,,,,,,,None,None,None,None,None,None,NTR,2.08,,,,,,,,,,,,,,,2015_Oct_20_1717,G,facesParametric,18,59.6850893433,
./basicStim/09F_NE_C.jpg,,0,21,21,41,,,,,,,,,,,None,None,None,None,None,None,NTR,1.208,,,,,,,,,,,,,,,2015_Oct_20_1717,G,facesParametric,18,59.6850893433,
./basicStim/03F_NE_C.jpg,,0,22,22,20,,,,,,,,,,,None,None,None,None,None,None,NTR,0.692,,,,,,,,,,,,,,,2015_Oct_20_1717,G,facesParametric,18,59.6850893433,
./basicStim/36M_SA_C.jpg,,0,23,23,81,,,,,,,,,,,SAD,2.953,None,None,None,None,None,None,,,,,,,,,,,,,,,2015_Oct_20_1717,G,facesParametric,18,59.6850893433,
./basicStim/06F_HA_O.jpg,,0,24,24,24,,,,,,,,,,,HAP,1.479,None,None,None,None,None,None,,,,,,,,,,,,,,,2015_Oct_20_1717,G,facesParametric,18,59.6850893433,
./basicStim/02F_NE_C.jpg,,0,25,25,13,,,,,,,,,,,SAD,2.517,None,None,None,None,None,None,,,,,,,,,,,,,,,2015_Oct_20_1717,G,facesParametric,18,59.6850893433,
./basicStim/01F_DI_O.jpg,,0,26,26,1,,,,,,,,,,,None,None,ANG,2.722,None,None,None,None,,,,,,,,,,,,,,,2015_Oct_20_1717,G,facesParametric,18,59.6850893433,
./basicStim/21M_DI_O.jpg,,0,27,27,43,,,,,,,,,,,None,None,None,None,DIS,3.322,None,None,,,,,,,,,,,,,,,2015_Oct_20_1717,G,facesParametric,18,59.6850893433,
./basicStim/28M_SP_O.jpg,,0,28,28,68,,,,,,,,,,,None,None,None,None,SUP,1.813,None,None,,,,,,,,,,,,,,,2015_Oct_20_1717,G,facesParametric,18,59.6850893433,
./basicStim/21M_FE_O.jpg,,0,29,29,44,,,,,,,,,,,None,None,FEA,2.976,None,None,None,None,,,,,,,,,,,,,,,2015_Oct_20_1717,G,facesParametric,18,59.6850893433,
./basicStim/28M_HA_O.jpg,,0,30,30,66,,,,,,,,,,,HAP,2.403,None,None,None,None,None,None,,,,,,,,,,,,,,,2015_Oct_20_1717,G,facesParametric,18,59.6850893433,
./basicStim/03F_DI_O.jpg,,0,31,31,15,,,,,,,,,,,None,None,None,None,DIS,2.773,None,None,,,,,,,,,,,,,,,2015_Oct_20_1717,G,facesParametric,18,59.6850893433,
./basicStim/21M_HA_O.jpg,,0,32,32,45,,,,,,,,,,,HAP,1.783,None,None,None,None,None,None,,,,,,,,,,,,,,,2015_Oct_20_1717,G,facesParametric,18,59.6850893433,
./basicStim/07F_NE_C.jpg,,0,33,33,34,,,,,,,,,,,SAD,2.052,None,None,None,None,None,None,,,,,,,,,,,,,,,2015_Oct_20_1717,G,facesParametric,18,59.6850893433,
./basicStim/21M_AN_O.jpg,,0,34,34,42,,,,,,,,,,,None,None,ANG,2.856,None,None,None,None,,,,,,,,,,,,,,,2015_Oct_20_1717,G,facesParametric,18,59.6850893433,
./basicStim/03F_SA_C.jpg,,0,35,35,18,,,,,,,,,,,SAD,2.995,None,None,None,None,None,None,,,,,,,,,,,,,,,2015_Oct_20_1717,G,facesParametric,18,59.6850893433,
./basicStim/02F_AN_O.jpg,,0,36,36,7,,,,,,,,,,,None,None,ANG,2.906,None,None,None,None,,,,,,,,,,,,,,,2015_Oct_20_1717,G,facesParametric,18,59.6850893433,
./basicStim/34M_SA_C.jpg,,0,37,37,74,,,,,,,,,,,SAD,1.889,None,None,None,None,None,None,,,,,,,,,,,,,,,2015_Oct_20_1717,G,facesParametric,18,59.6850893433,
./basicStim/01F_HA_O.jpg,,0,38,38,3,,,,,,,,,,,HAP,1.48,None,None,None,None,None,None,,,,,,,,,,,,,,,2015_Oct_20_1717,G,facesParametric,18,59.6850893433,
./basicStim/02F_DI_O.jpg,,0,39,39,8,,,,,,,,,,,None,None,ANG,3.497,None,None,None,None,,,,,,,,,,,,,,,2015_Oct_20_1717,G,facesParametric,18,59.6850893433,
./basicStim/24M_SP_O.jpg,,0,40,40,61,,,,,,,,,,,None,None,None,None,SUP,1.791,None,None,,,,,,,,,,,,,,,2015_Oct_20_1717,G,facesParametric,18,59.6850893433,
