img,num,basicLoop.thisRepN,basicLoop.thisTrialN,basicLoop.thisN,basicLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,key_resp_2.keys,key_resp_2.rt,basicRating1.response,basicRating1.rt,basicRating2.response,basicRating2.rt,basicRating3.response,basicRating3.rt,basicRating4.response,basicRating4.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,date,group,expName,participant,frameRate,
,,,,,,,,,,,,,,return,2219.22624707,,,,,,,,,,,,,,,,,,,,,,,2015_Aug_27_1142,G,facesParametric,1,59.7161056645,
./basicStim/03F_DI_O.jpg,,0,0,0,15,,,,,,,,,,,None,None,None,None,DIS,3.625,None,None,,,,,,,,,,,,,,,2015_Aug_27_1142,G,facesParametric,1,59.7161056645,
./basicStim/07F_HA_O.jpg,,0,1,1,31,,,,,,,,,,,HAP,3.883,None,None,None,None,None,None,,,,,,,,,,,,,,,2015_Aug_27_1142,G,facesParametric,1,59.7161056645,
./basicStim/07F_SA_C.jpg,,0,2,2,32,,,,,,,,,,,SAD,1.495,None,None,None,None,None,None,,,,,,,,,,,,,,,2015_Aug_27_1142,G,facesParametric,1,59.7161056645,
./basicStim/23M_AN_O.jpg,,0,3,3,49,,,,,,,,,,,None,None,ANG,1.096,None,None,None,None,,,,,,,,,,,,,,,2015_Aug_27_1142,G,facesParametric,1,59.7161056645,
./basicStim/24M_AN_O.jpg,,0,4,4,56,,,,,,,,,,,None,None,None,None,DIS,1.944,None,None,,,,,,,,,,,,,,,2015_Aug_27_1142,G,facesParametric,1,59.7161056645,
./basicStim/09F_FE_O.jpg,,0,5,5,37,,,,,,,,,,,None,None,None,None,SUP,2.015,None,None,,,,,,,,,,,,,,,2015_Aug_27_1142,G,facesParametric,1,59.7161056645,
./basicStim/07F_AN_O.jpg,,0,6,6,28,,,,,,,,,,,None,None,ANG,1.275,None,None,None,None,,,,,,,,,,,,,,,2015_Aug_27_1142,G,facesParametric,1,59.7161056645,
./basicStim/36M_SA_C.jpg,,0,7,7,81,,,,,,,,,,,SAD,1.146,None,None,None,None,None,None,,,,,,,,,,,,,,,2015_Aug_27_1142,G,facesParametric,1,59.7161056645,
./basicStim/03F_SP_O.jpg,,0,8,8,19,,,,,,,,,,,None,None,None,None,SUP,4.081,None,None,,,,,,,,,,,,,,,2015_Aug_27_1142,G,facesParametric,1,59.7161056645,
./basicStim/21M_HA_O.jpg,,0,9,9,45,,,,,,,,,,,HAP,5.405,None,None,None,None,None,None,,,,,,,,,,,,,,,2015_Aug_27_1142,G,facesParametric,1,59.7161056645,
./basicStim/02F_DI_O.jpg,,0,10,10,8,,,,,,,,,,,None,None,None,None,DIS,6.391,None,None,,,,,,,,,,,,,,,2015_Aug_27_1142,G,facesParametric,1,59.7161056645,
./basicStim/06F_AN_O.jpg,,0,11,11,21,,,,,,,,,,,None,None,None,None,DIS,7.063,None,None,,,,,,,,,,,,,,,2015_Aug_27_1142,G,facesParametric,1,59.7161056645,
./basicStim/34M_HA_O.jpg,,0,12,12,73,,,,,,,,,,,HAP,2.051,None,None,None,None,None,None,,,,,,,,,,,,,,,2015_Aug_27_1142,G,facesParametric,1,59.7161056645,
./basicStim/03F_HA_O.jpg,,0,13,13,17,,,,,,,,,,,HAP,1.03,None,None,None,None,None,None,,,,,,,,,,,,,,,2015_Aug_27_1142,G,facesParametric,1,59.7161056645,
./basicStim/01F_SP_O.jpg,,0,14,14,5,,,,,,,,,,,None,None,None,None,SUP,1.447,None,None,,,,,,,,,,,,,,,2015_Aug_27_1142,G,facesParametric,1,59.7161056645,
./basicStim/09F_SP_O.jpg,,0,15,15,40,,,,,,,,,,,None,None,None,None,SUP,4.043,None,None,,,,,,,,,,,,,,,2015_Aug_27_1142,G,facesParametric,1,59.7161056645,
./basicStim/24M_DI_O.jpg,,0,16,16,57,,,,,,,,,,,SAD,2.066,None,None,None,None,None,None,,,,,,,,,,,,,,,2015_Aug_27_1142,G,facesParametric,1,59.7161056645,
./basicStim/03F_SA_C.jpg,,0,17,17,18,,,,,,,,,,,SAD,0.775,None,None,None,None,None,None,,,,,,,,,,,,,,,2015_Aug_27_1142,G,facesParametric,1,59.7161056645,
./basicStim/36M_FE_O.jpg,,0,18,18,79,,,,,,,,,,,None,None,FEA,3.86,None,None,None,None,,,,,,,,,,,,,,,2015_Aug_27_1142,G,facesParametric,1,59.7161056645,
./basicStim/03F_AN_O.jpg,,0,19,19,14,,,,,,,,,,,None,None,ANG,3.664,None,None,None,None,,,,,,,,,,,,,,,2015_Aug_27_1142,G,facesParametric,1,59.7161056645,
./basicStim/28M_DI_O.jpg,,0,20,20,64,,,,,,,,,,,None,None,None,None,DIS,3.224,None,None,,,,,,,,,,,,,,,2015_Aug_27_1142,G,facesParametric,1,59.7161056645,
