img,num,basicLoop.thisRepN,basicLoop.thisTrialN,basicLoop.thisN,basicLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,key_resp_2.keys,key_resp_2.rt,basicRating1.response,basicRating1.rt,basicRating2.response,basicRating2.rt,basicRating3.response,basicRating3.rt,basicRating4.response,basicRating4.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,date,group,expName,participant,frameRate,
,,,,,,,,,,,,,,return,117.932045221,,,,,,,,,,,,,,,,,,,,,,,2015_Nov_07_1331,G,facesParametric,28,59.6189157649,
./basicStim/01F_SP_O.jpg,,0,0,0,5,,,,,,,,,,,None,None,None,None,SUP,7.047,None,None,,,,,,,,,,,,,,,2015_Nov_07_1331,G,facesParametric,28,59.6189157649,
./basicStim/36M_AN_O.jpg,,0,1,1,77,,,,,,,,,,,None,None,ANG,3.071,None,None,None,None,,,,,,,,,,,,,,,2015_Nov_07_1331,G,facesParametric,28,59.6189157649,
./basicStim/28M_NE_C.jpg,,0,2,2,69,,,,,,,,,,,None,None,None,None,SUP,10.598,None,None,,,,,,,,,,,,,,,2015_Nov_07_1331,G,facesParametric,28,59.6189157649,
./basicStim/03F_SP_O.jpg,,0,3,3,19,,,,,,,,,,,HAP,4.818,None,None,None,None,None,None,,,,,,,,,,,,,,,2015_Nov_07_1331,G,facesParametric,28,59.6189157649,
./basicStim/03F_SA_C.jpg,,0,4,4,18,,,,,,,,,,,SAD,2.438,None,None,None,None,None,None,,,,,,,,,,,,,,,2015_Nov_07_1331,G,facesParametric,28,59.6189157649,
./basicStim/01F_HA_O.jpg,,0,5,5,3,,,,,,,,,,,HAP,3.892,None,None,None,None,None,None,,,,,,,,,,,,,,,2015_Nov_07_1331,G,facesParametric,28,59.6189157649,
./basicStim/09F_AN_O.jpg,,0,6,6,35,,,,,,,,,,,None,None,ANG,2.57,None,None,None,None,,,,,,,,,,,,,,,2015_Nov_07_1331,G,facesParametric,28,59.6189157649,
./basicStim/28M_SA_C.jpg,,0,7,7,67,,,,,,,,,,,None,None,None,None,SUP,7.326,None,None,,,,,,,,,,,,,,,2015_Nov_07_1331,G,facesParametric,28,59.6189157649,
./basicStim/06F_DI_O.jpg,,0,8,8,22,,,,,,,,,,,None,None,None,None,DIS,2.735,None,None,,,,,,,,,,,,,,,2015_Nov_07_1331,G,facesParametric,28,59.6189157649,
./basicStim/23M_AN_O.jpg,,0,9,9,49,,,,,,,,,,,None,None,ANG,2.532,None,None,None,None,,,,,,,,,,,,,,,2015_Nov_07_1331,G,facesParametric,28,59.6189157649,
./basicStim/36M_FE_O.jpg,,0,10,10,79,,,,,,,,,,,None,None,None,None,SUP,4.563,None,None,,,,,,,,,,,,,,,2015_Nov_07_1331,G,facesParametric,28,59.6189157649,
./basicStim/21M_NE_C.jpg,,0,11,11,48,,,,,,,,,,,None,None,None,None,None,None,NTR,3.686,,,,,,,,,,,,,,,2015_Nov_07_1331,G,facesParametric,28,59.6189157649,
./basicStim/23M_SA_C.jpg,,0,12,12,53,,,,,,,,,,,None,None,None,None,DIS,6.813,None,None,,,,,,,,,,,,,,,2015_Nov_07_1331,G,facesParametric,28,59.6189157649,
./basicStim/28M_DI_O.jpg,,0,13,13,64,,,,,,,,,,,None,None,None,None,None,None,NTR,9.289,,,,,,,,,,,,,,,2015_Nov_07_1331,G,facesParametric,28,59.6189157649,
./basicStim/09F_SP_O.jpg,,0,14,14,40,,,,,,,,,,,None,None,None,None,SUP,1.914,None,None,,,,,,,,,,,,,,,2015_Nov_07_1331,G,facesParametric,28,59.6189157649,
./basicStim/36M_NE_C.jpg,,0,15,15,83,,,,,,,,,,,None,None,None,None,None,None,NTR,1.777,,,,,,,,,,,,,,,2015_Nov_07_1331,G,facesParametric,28,59.6189157649,
./basicStim/07F_FE_O.jpg,,0,16,16,30,,,,,,,,,,,None,None,None,None,DIS,3.002,None,None,,,,,,,,,,,,,,,2015_Nov_07_1331,G,facesParametric,28,59.6189157649,
./basicStim/21M_FE_O.jpg,,0,17,17,44,,,,,,,,,,,None,None,None,None,SUP,2.904,None,None,,,,,,,,,,,,,,,2015_Nov_07_1331,G,facesParametric,28,59.6189157649,
./basicStim/34M_SP_O.jpg,,0,18,18,75,,,,,,,,,,,None,None,None,None,SUP,1.631,None,None,,,,,,,,,,,,,,,2015_Nov_07_1331,G,facesParametric,28,59.6189157649,
./basicStim/09F_NE_C.jpg,,0,19,19,41,,,,,,,,,,,None,None,None,None,None,None,NTR,2.333,,,,,,,,,,,,,,,2015_Nov_07_1331,G,facesParametric,28,59.6189157649,
./basicStim/01F_FE_O.jpg,,0,20,20,2,,,,,,,,,,,None,None,None,None,SUP,4.612,None,None,,,,,,,,,,,,,,,2015_Nov_07_1331,G,facesParametric,28,59.6189157649,
./basicStim/06F_SA_C.jpg,,0,21,21,25,,,,,,,,,,,None,None,None,None,DIS,8.665,None,None,,,,,,,,,,,,,,,2015_Nov_07_1331,G,facesParametric,28,59.6189157649,
./basicStim/01F_NE_C.jpg,,0,22,22,6,,,,,,,,,,,None,None,None,None,None,None,NTR,1.01,,,,,,,,,,,,,,,2015_Nov_07_1331,G,facesParametric,28,59.6189157649,
./basicStim/02F_DI_O.jpg,,0,23,23,8,,,,,,,,,,,None,None,None,None,None,None,NTR,10.743,,,,,,,,,,,,,,,2015_Nov_07_1331,G,facesParametric,28,59.6189157649,
./basicStim/07F_AN_O.jpg,,0,24,24,28,,,,,,,,,,,None,None,ANG,4.174,None,None,None,None,,,,,,,,,,,,,,,2015_Nov_07_1331,G,facesParametric,28,59.6189157649,
./basicStim/07F_SP_O.jpg,,0,25,25,33,,,,,,,,,,,None,None,None,None,SUP,2.851,None,None,,,,,,,,,,,,,,,2015_Nov_07_1331,G,facesParametric,28,59.6189157649,
./basicStim/24M_HA_O.jpg,,0,26,26,59,,,,,,,,,,,HAP,2.785,None,None,None,None,None,None,,,,,,,,,,,,,,,2015_Nov_07_1331,G,facesParametric,28,59.6189157649,
./basicStim/01F_SA_C.jpg,,0,27,27,4,,,,,,,,,,,SAD,5.536,None,None,None,None,None,None,,,,,,,,,,,,,,,2015_Nov_07_1331,G,facesParametric,28,59.6189157649,
./basicStim/23M_NE_C.jpg,,0,28,28,55,,,,,,,,,,,None,None,None,None,None,None,NTR,2.435,,,,,,,,,,,,,,,2015_Nov_07_1331,G,facesParametric,28,59.6189157649,
./basicStim/24M_AN_O.jpg,,0,29,29,56,,,,,,,,,,,None,None,ANG,3.509,None,None,None,None,,,,,,,,,,,,,,,2015_Nov_07_1331,G,facesParametric,28,59.6189157649,
./basicStim/24M_SA_C.jpg,,0,30,30,60,,,,,,,,,,,SAD,5.065,None,None,None,None,None,None,,,,,,,,,,,,,,,2015_Nov_07_1331,G,facesParametric,28,59.6189157649,
./basicStim/21M_DI_O.jpg,,0,31,31,43,,,,,,,,,,,None,None,None,None,SUP,6.069,None,None,,,,,,,,,,,,,,,2015_Nov_07_1331,G,facesParametric,28,59.6189157649,
./basicStim/36M_SA_C.jpg,,0,32,32,81,,,,,,,,,,,None,None,None,None,None,None,NTR,2.374,,,,,,,,,,,,,,,2015_Nov_07_1331,G,facesParametric,28,59.6189157649,
./basicStim/21M_HA_O.jpg,,0,33,33,45,,,,,,,,,,,HAP,1.629,None,None,None,None,None,None,,,,,,,,,,,,,,,2015_Nov_07_1331,G,facesParametric,28,59.6189157649,
./basicStim/06F_NE_C.jpg,,0,34,34,27,,,,,,,,,,,None,None,None,None,None,None,NTR,1.747,,,,,,,,,,,,,,,2015_Nov_07_1331,G,facesParametric,28,59.6189157649,
./basicStim/06F_AN_O.jpg,,0,35,35,21,,,,,,,,,,,None,None,ANG,2.006,None,None,None,None,,,,,,,,,,,,,,,2015_Nov_07_1331,G,facesParametric,28,59.6189157649,
./basicStim/21M_AN_O.jpg,,0,36,36,42,,,,,,,,,,,None,None,ANG,1.047,None,None,None,None,,,,,,,,,,,,,,,2015_Nov_07_1331,G,facesParametric,28,59.6189157649,
./basicStim/34M_DI_O.jpg,,0,37,37,71,,,,,,,,,,,None,None,None,None,DIS,7.043,None,None,,,,,,,,,,,,,,,2015_Nov_07_1331,G,facesParametric,28,59.6189157649,
./basicStim/28M_FE_O.jpg,,0,38,38,65,,,,,,,,,,,None,None,None,None,SUP,2.506,None,None,,,,,,,,,,,,,,,2015_Nov_07_1331,G,facesParametric,28,59.6189157649,
./basicStim/21M_SA_C.jpg,,0,39,39,46,,,,,,,,,,,None,None,None,None,None,None,NTR,4.297,,,,,,,,,,,,,,,2015_Nov_07_1331,G,facesParametric,28,59.6189157649,
./basicStim/36M_DI_O.jpg,,0,40,40,78,,,,,,,,,,,None,None,None,None,None,None,NTR,6.588,,,,,,,,,,,,,,,2015_Nov_07_1331,G,facesParametric,28,59.6189157649,
./basicStim/34M_SA_C.jpg,,0,41,41,74,,,,,,,,,,,None,None,None,None,DIS,9.974,None,None,,,,,,,,,,,,,,,2015_Nov_07_1331,G,facesParametric,28,59.6189157649,
./basicStim/36M_SP_O.jpg,,0,42,42,82,,,,,,,,,,,None,None,None,None,SUP,4.312,None,None,,,,,,,,,,,,,,,2015_Nov_07_1331,G,facesParametric,28,59.6189157649,
./basicStim/07F_HA_O.jpg,,0,43,43,31,,,,,,,,,,,HAP,2.872,None,None,None,None,None,None,,,,,,,,,,,,,,,2015_Nov_07_1331,G,facesParametric,28,59.6189157649,
./basicStim/23M_DI_O.jpg,,0,44,44,50,,,,,,,,,,,SAD,5.989,None,None,None,None,None,None,,,,,,,,,,,,,,,2015_Nov_07_1331,G,facesParametric,28,59.6189157649,
./basicStim/06F_HA_O.jpg,,0,45,45,24,,,,,,,,,,,HAP,2.754,None,None,None,None,None,None,,,,,,,,,,,,,,,2015_Nov_07_1331,G,facesParametric,28,59.6189157649,
./basicStim/28M_AN_O.jpg,,0,46,46,63,,,,,,,,,,,None,None,None,None,None,None,NTR,4.264,,,,,,,,,,,,,,,2015_Nov_07_1331,G,facesParametric,28,59.6189157649,
./basicStim/23M_SP_O.jpg,,0,47,47,54,,,,,,,,,,,None,None,None,None,SUP,1.108,None,None,,,,,,,,,,,,,,,2015_Nov_07_1331,G,facesParametric,28,59.6189157649,
./basicStim/28M_HA_O.jpg,,0,48,48,66,,,,,,,,,,,HAP,1.889,None,None,None,None,None,None,,,,,,,,,,,,,,,2015_Nov_07_1331,G,facesParametric,28,59.6189157649,
./basicStim/02F_SA_C.jpg,,0,49,49,11,,,,,,,,,,,SAD,7.05,None,None,None,None,None,None,,,,,,,,,,,,,,,2015_Nov_07_1331,G,facesParametric,28,59.6189157649,
