img,num,basicLoop.thisRepN,basicLoop.thisTrialN,basicLoop.thisN,basicLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,key_resp_2.keys,key_resp_2.rt,basicRating1.response,basicRating1.rt,basicRating2.response,basicRating2.rt,basicRating3.response,basicRating3.rt,basicRating4.response,basicRating4.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,date,group,expName,participant,frameRate,
,,,,,,,,,,,,,,return,44.3687930107,,,,,,,,,,,,,,,,,,,,,,,2015_Oct_24_1302,K,facesParametric,12,59.6459613197,
./basicStim/23M_DI_O.jpg,,0,0,0,50,,,,,,,,,,,None,None,None,None,DIS,15.833,None,None,,,,,,,,,,,,,,,2015_Oct_24_1302,K,facesParametric,12,59.6459613197,
./basicStim/03F_FE_O.jpg,,0,1,1,16,,,,,,,,,,,None,None,None,None,SUP,3.423,None,None,,,,,,,,,,,,,,,2015_Oct_24_1302,K,facesParametric,12,59.6459613197,
./basicStim/07F_SA_C.jpg,,0,2,2,32,,,,,,,,,,,SAD,2.453,None,None,None,None,None,None,,,,,,,,,,,,,,,2015_Oct_24_1302,K,facesParametric,12,59.6459613197,
./basicStim/24M_DI_O.jpg,,0,3,3,57,,,,,,,,,,,None,None,None,None,DIS,5.169,None,None,,,,,,,,,,,,,,,2015_Oct_24_1302,K,facesParametric,12,59.6459613197,
./basicStim/03F_SP_O.jpg,,0,4,4,19,,,,,,,,,,,HAP,2.923,None,None,None,None,None,None,,,,,,,,,,,,,,,2015_Oct_24_1302,K,facesParametric,12,59.6459613197,
./basicStim/36M_SA_C.jpg,,0,5,5,81,,,,,,,,,,,None,None,None,None,SUP,5.975,None,None,,,,,,,,,,,,,,,2015_Oct_24_1302,K,facesParametric,12,59.6459613197,
./basicStim/34M_AN_O.jpg,,0,6,6,70,,,,,,,,,,,None,None,ANG,2.416,None,None,None,None,,,,,,,,,,,,,,,2015_Oct_24_1302,K,facesParametric,12,59.6459613197,
./basicStim/06F_AN_O.jpg,,0,7,7,21,,,,,,,,,,,None,None,None,None,DIS,14.199,None,None,,,,,,,,,,,,,,,2015_Oct_24_1302,K,facesParametric,12,59.6459613197,
./basicStim/06F_DI_O.jpg,,0,8,8,22,,,,,,,,,,,None,None,None,None,DIS,4.094,None,None,,,,,,,,,,,,,,,2015_Oct_24_1302,K,facesParametric,12,59.6459613197,
