img,num,basicLoop.thisRepN,basicLoop.thisTrialN,basicLoop.thisN,basicLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,key_resp_2.keys,key_resp_2.rt,basicRating1.response,basicRating1.rt,basicRating2.response,basicRating2.rt,basicRating3.response,basicRating3.rt,basicRating4.response,basicRating4.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,key_resp_5.keys,key_resp_5.rt,date,group,expName,participant,frameRate,
,,,,,,,,,,,,,,return,66.4451570511,,,,,,,,,,,,,,,,,,,,,2015_Sep_08_1516,K,facesParametric,2,59.6345127144,
./basicStim/03F_AN_O.jpg,,0,0,0,14,,,,,,,,,,,None,None,ANG,8.425,None,None,None,None,,,,,,,,,,,,,2015_Sep_08_1516,K,facesParametric,2,59.6345127144,
./basicStim/06F_HA_O.jpg,,0,1,1,24,,,,,,,,,,,HAP,3.04,None,None,None,None,None,None,,,,,,,,,,,,,2015_Sep_08_1516,K,facesParametric,2,59.6345127144,
./basicStim/24M_HA_O.jpg,,0,2,2,59,,,,,,,,,,,HAP,2.387,None,None,None,None,None,None,,,,,,,,,,,,,2015_Sep_08_1516,K,facesParametric,2,59.6345127144,
./basicStim/21M_SA_C.jpg,,0,3,3,46,,,,,,,,,,,SAD,8.325,None,None,None,None,None,None,,,,,,,,,,,,,2015_Sep_08_1516,K,facesParametric,2,59.6345127144,
./basicStim/02F_AN_O.jpg,,0,4,4,7,,,,,,,,,,,None,None,ANG,3.437,None,None,None,None,,,,,,,,,,,,,2015_Sep_08_1516,K,facesParametric,2,59.6345127144,
./basicStim/36M_DI_O.jpg,,0,5,5,78,,,,,,,,,,,None,None,None,None,DIS,2.264,None,None,,,,,,,,,,,,,2015_Sep_08_1516,K,facesParametric,2,59.6345127144,
./basicStim/06F_SA_C.jpg,,0,6,6,25,,,,,,,,,,,SAD,3.056,None,None,None,None,None,None,,,,,,,,,,,,,2015_Sep_08_1516,K,facesParametric,2,59.6345127144,
./basicStim/28M_FE_O.jpg,,0,7,7,65,,,,,,,,,,,None,None,FEA,3.538,None,None,None,None,,,,,,,,,,,,,2015_Sep_08_1516,K,facesParametric,2,59.6345127144,
./basicStim/01F_SA_C.jpg,,0,8,8,4,,,,,,,,,,,None,None,None,None,SUP,11.166,None,None,,,,,,,,,,,,,2015_Sep_08_1516,K,facesParametric,2,59.6345127144,
./basicStim/09F_HA_O.jpg,,0,9,9,38,,,,,,,,,,,HAP,2.419,None,None,None,None,None,None,,,,,,,,,,,,,2015_Sep_08_1516,K,facesParametric,2,59.6345127144,
./basicStim/01F_NE_C.jpg,,0,10,10,6,,,,,,,,,,,None,None,None,None,SUP,3.373,None,None,,,,,,,,,,,,,2015_Sep_08_1516,K,facesParametric,2,59.6345127144,
./basicStim/07F_FE_O.jpg,,0,11,11,30,,,,,,,,,,,None,None,None,None,DIS,2.59,None,None,,,,,,,,,,,,,2015_Sep_08_1516,K,facesParametric,2,59.6345127144,
./basicStim/21M_SP_O.jpg,,0,12,12,47,,,,,,,,,,,None,None,None,None,SUP,1.627,None,None,,,,,,,,,,,,,2015_Sep_08_1516,K,facesParametric,2,59.6345127144,
./basicStim/23M_FE_O.jpg,,0,13,13,51,,,,,,,,,,,None,None,None,None,SUP,2.268,None,None,,,,,,,,,,,,,2015_Sep_08_1516,K,facesParametric,2,59.6345127144,
./basicStim/36M_SA_C.jpg,,0,14,14,81,,,,,,,,,,,SAD,3.04,None,None,None,None,None,None,,,,,,,,,,,,,2015_Sep_08_1516,K,facesParametric,2,59.6345127144,
./basicStim/03F_HA_O.jpg,,0,15,15,17,,,,,,,,,,,HAP,1.934,None,None,None,None,None,None,,,,,,,,,,,,,2015_Sep_08_1516,K,facesParametric,2,59.6345127144,
./basicStim/09F_SA_C.jpg,,0,16,16,39,,,,,,,,,,,SAD,4.514,None,None,None,None,None,None,,,,,,,,,,,,,2015_Sep_08_1516,K,facesParametric,2,59.6345127144,
./basicStim/21M_DI_O.jpg,,0,17,17,43,,,,,,,,,,,None,None,None,None,DIS,2.162,None,None,,,,,,,,,,,,,2015_Sep_08_1516,K,facesParametric,2,59.6345127144,
./basicStim/01F_SP_O.jpg,,0,18,18,5,,,,,,,,,,,None,None,None,None,SUP,1.497,None,None,,,,,,,,,,,,,2015_Sep_08_1516,K,facesParametric,2,59.6345127144,
./basicStim/36M_FE_O.jpg,,0,19,19,79,,,,,,,,,,,None,None,FEA,1.549,None,None,None,None,,,,,,,,,,,,,2015_Sep_08_1516,K,facesParametric,2,59.6345127144,
./basicStim/21M_AN_O.jpg,,0,20,20,42,,,,,,,,,,,None,None,ANG,2.955,None,None,None,None,,,,,,,,,,,,,2015_Sep_08_1516,K,facesParametric,2,59.6345127144,
./basicStim/28M_SA_C.jpg,,0,21,21,67,,,,,,,,,,,None,None,FEA,2.351,None,None,None,None,,,,,,,,,,,,,2015_Sep_08_1516,K,facesParametric,2,59.6345127144,
./basicStim/34M_NE_C.jpg,,0,22,22,76,,,,,,,,,,,None,None,None,None,None,None,NTR,3.974,,,,,,,,,,,,,2015_Sep_08_1516,K,facesParametric,2,59.6345127144,
./basicStim/34M_DI_O.jpg,,0,23,23,71,,,,,,,,,,,None,None,None,None,DIS,1.188,None,None,,,,,,,,,,,,,2015_Sep_08_1516,K,facesParametric,2,59.6345127144,
./basicStim/07F_SP_O.jpg,,0,24,24,33,,,,,,,,,,,None,None,None,None,SUP,2.113,None,None,,,,,,,,,,,,,2015_Sep_08_1516,K,facesParametric,2,59.6345127144,
./basicStim/09F_FE_O.jpg,,0,25,25,37,,,,,,,,,,,None,None,FEA,3.104,None,None,None,None,,,,,,,,,,,,,2015_Sep_08_1516,K,facesParametric,2,59.6345127144,
