img,num,basicLoop.thisRepN,basicLoop.thisTrialN,basicLoop.thisN,basicLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,basicRating1.response,basicRating1.rt,basicRating2.response,basicRating2.rt,basicRating3.response,basicRating3.rt,basicRating4.response,basicRating4.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,date,group,expName,participant,frameRate,
,,,,,,,,,,return,34.8604531288,,,,,,,,,,,,,,,,,,,2015_Sep_15_1204,K,facesParametric,3,59.7068398808,
./basicStim/23M_SP_O.jpg,,0,0,0,54,,,,,,,None,None,ANG,15.463,None,None,None,None,,,,,,,,,,,2015_Sep_15_1204,K,facesParametric,3,59.7068398808,
./basicStim/36M_SA_C.jpg,,0,1,1,81,,,,,,,None,None,None,None,SUP,13.527,None,None,,,,,,,,,,,2015_Sep_15_1204,K,facesParametric,3,59.7068398808,
./basicStim/34M_AN_O.jpg,,0,2,2,70,,,,,,,None,None,None,None,DIS,7.832,None,None,,,,,,,,,,,2015_Sep_15_1204,K,facesParametric,3,59.7068398808,
./basicStim/24M_FE_O.jpg,,0,3,3,58,,,,,,,None,None,None,None,SUP,17.054,None,None,,,,,,,,,,,2015_Sep_15_1204,K,facesParametric,3,59.7068398808,
./basicStim/07F_FE_O.jpg,,0,4,4,30,,,,,,,None,None,None,None,DIS,10.293,None,None,,,,,,,,,,,2015_Sep_15_1204,K,facesParametric,3,59.7068398808,
./basicStim/28M_NE_C.jpg,,0,5,5,69,,,,,,,None,None,None,None,None,None,NTR,8.733,,,,,,,,,,,2015_Sep_15_1204,K,facesParametric,3,59.7068398808,
./basicStim/24M_SA_C.jpg,,0,6,6,60,,,,,,,None,None,None,None,DIS,8.096,None,None,,,,,,,,,,,2015_Sep_15_1204,K,facesParametric,3,59.7068398808,
./basicStim/36M_AN_O.jpg,,0,7,7,77,,,,,,,None,None,None,None,None,None,NTR,6.401,,,,,,,,,,,2015_Sep_15_1204,K,facesParametric,3,59.7068398808,
./basicStim/02F_AN_O.jpg,,0,8,8,7,,,,,,,None,None,None,None,SUP,4.375,None,None,,,,,,,,,,,2015_Sep_15_1204,K,facesParametric,3,59.7068398808,
./basicStim/09F_SP_O.jpg,,0,9,9,40,,,,,,,None,None,FEA,8.397,None,None,None,None,,,,,,,,,,,2015_Sep_15_1204,K,facesParametric,3,59.7068398808,
./basicStim/23M_NE_C.jpg,,0,10,10,55,,,,,,,None,None,None,None,None,None,NTR,4.341,,,,,,,,,,,2015_Sep_15_1204,K,facesParametric,3,59.7068398808,
./basicStim/24M_NE_C.jpg,,0,11,11,62,,,,,,,None,None,None,None,None,None,NTR,9.136,,,,,,,,,,,2015_Sep_15_1204,K,facesParametric,3,59.7068398808,
./basicStim/21M_AN_O.jpg,,0,12,12,42,,,,,,,None,None,FEA,6.645,None,None,None,None,,,,,,,,,,,2015_Sep_15_1204,K,facesParametric,3,59.7068398808,
./basicStim/03F_DI_O.jpg,,0,13,13,15,,,,,,,None,None,None,None,DIS,2.784,None,None,,,,,,,,,,,2015_Sep_15_1204,K,facesParametric,3,59.7068398808,
./basicStim/36M_SP_O.jpg,,0,14,14,82,,,,,,,None,None,None,None,SUP,5.233,None,None,,,,,,,,,,,2015_Sep_15_1204,K,facesParametric,3,59.7068398808,
./basicStim/01F_SA_C.jpg,,0,15,15,4,,,,,,,None,None,None,None,SUP,5.532,None,None,,,,,,,,,,,2015_Sep_15_1204,K,facesParametric,3,59.7068398808,
./basicStim/01F_SP_O.jpg,,0,16,16,5,,,,,,,None,None,None,None,SUP,3.522,None,None,,,,,,,,,,,2015_Sep_15_1204,K,facesParametric,3,59.7068398808,
./basicStim/23M_SA_C.jpg,,0,17,17,53,,,,,,,None,None,ANG,4.342,None,None,None,None,,,,,,,,,,,2015_Sep_15_1204,K,facesParametric,3,59.7068398808,
./basicStim/06F_AN_O.jpg,,0,18,18,21,,,,,,,None,None,None,None,DIS,5.174,None,None,,,,,,,,,,,2015_Sep_15_1204,K,facesParametric,3,59.7068398808,
./basicStim/03F_SA_C.jpg,,0,19,19,18,,,,,,,SAD,4.185,None,None,None,None,None,None,,,,,,,,,,,2015_Sep_15_1204,K,facesParametric,3,59.7068398808,
./basicStim/02F_SP_O.jpg,,0,20,20,12,,,,,,,None,None,None,None,SUP,5.825,None,None,,,,,,,,,,,2015_Sep_15_1204,K,facesParametric,3,59.7068398808,
./basicStim/02F_HA_O.jpg,,0,21,21,10,,,,,,,HAP,3.509,None,None,None,None,None,None,,,,,,,,,,,2015_Sep_15_1204,K,facesParametric,3,59.7068398808,
./basicStim/07F_HA_O.jpg,,0,22,22,31,,,,,,,HAP,3.112,None,None,None,None,None,None,,,,,,,,,,,2015_Sep_15_1204,K,facesParametric,3,59.7068398808,
./basicStim/03F_AN_O.jpg,,0,23,23,14,,,,,,,None,None,ANG,2.938,None,None,None,None,,,,,,,,,,,2015_Sep_15_1204,K,facesParametric,3,59.7068398808,
./basicStim/36M_NE_C.jpg,,0,24,24,83,,,,,,,None,None,None,None,None,None,NTR,4.514,,,,,,,,,,,2015_Sep_15_1204,K,facesParametric,3,59.7068398808,
./basicStim/23M_AN_O.jpg,,0,25,25,49,,,,,,,None,None,ANG,3.006,None,None,None,None,,,,,,,,,,,2015_Sep_15_1204,K,facesParametric,3,59.7068398808,
./basicStim/36M_HA_O.jpg,,0,26,26,80,,,,,,,HAP,1.671,None,None,None,None,None,None,,,,,,,,,,,2015_Sep_15_1204,K,facesParametric,3,59.7068398808,
./basicStim/24M_DI_O.jpg,,0,27,27,57,,,,,,,SAD,4.982,None,None,None,None,None,None,,,,,,,,,,,2015_Sep_15_1204,K,facesParametric,3,59.7068398808,
./basicStim/36M_FE_O.jpg,,0,28,28,79,,,,,,,None,None,None,None,None,None,NTR,5.917,,,,,,,,,,,2015_Sep_15_1204,K,facesParametric,3,59.7068398808,
./basicStim/21M_DI_O.jpg,,0,29,29,43,,,,,,,None,None,None,None,DIS,2.345,None,None,,,,,,,,,,,2015_Sep_15_1204,K,facesParametric,3,59.7068398808,
./basicStim/23M_HA_O.jpg,,0,30,30,52,,,,,,,HAP,3.193,None,None,None,None,None,None,,,,,,,,,,,2015_Sep_15_1204,K,facesParametric,3,59.7068398808,
./basicStim/09F_HA_O.jpg,,0,31,31,38,,,,,,,HAP,3.157,None,None,None,None,None,None,,,,,,,,,,,2015_Sep_15_1204,K,facesParametric,3,59.7068398808,
./basicStim/24M_SP_O.jpg,,0,32,32,61,,,,,,,None,None,None,None,SUP,4.111,None,None,,,,,,,,,,,2015_Sep_15_1204,K,facesParametric,3,59.7068398808,
./basicStim/07F_SP_O.jpg,,0,33,33,33,,,,,,,None,None,ANG,7.158,None,None,None,None,,,,,,,,,,,2015_Sep_15_1204,K,facesParametric,3,59.7068398808,
./basicStim/06F_HA_O.jpg,,0,34,34,24,,,,,,,None,None,None,None,SUP,4.766,None,None,,,,,,,,,,,2015_Sep_15_1204,K,facesParametric,3,59.7068398808,
./basicStim/01F_AN_O.jpg,,0,35,35,0,,,,,,,None,None,ANG,3.04,None,None,None,None,,,,,,,,,,,2015_Sep_15_1204,K,facesParametric,3,59.7068398808,
./basicStim/02F_FE_O.jpg,,0,36,36,9,,,,,,,None,None,ANG,3.856,None,None,None,None,,,,,,,,,,,2015_Sep_15_1204,K,facesParametric,3,59.7068398808,
./basicStim/21M_FE_O.jpg,,0,37,37,44,,,,,,,None,None,None,None,SUP,3.436,None,None,,,,,,,,,,,2015_Sep_15_1204,K,facesParametric,3,59.7068398808,
./basicStim/03F_SP_O.jpg,,0,38,38,19,,,,,,,HAP,2.821,None,None,None,None,None,None,,,,,,,,,,,2015_Sep_15_1204,K,facesParametric,3,59.7068398808,
./basicStim/28M_SP_O.jpg,,0,39,39,68,,,,,,,None,None,None,None,SUP,3.757,None,None,,,,,,,,,,,2015_Sep_15_1204,K,facesParametric,3,59.7068398808,
./basicStim/07F_SA_C.jpg,,0,40,40,32,,,,,,,SAD,5.232,None,None,None,None,None,None,,,,,,,,,,,2015_Sep_15_1204,K,facesParametric,3,59.7068398808,
./basicStim/09F_NE_C.jpg,,0,41,41,41,,,,,,,None,None,None,None,SUP,7.878,None,None,,,,,,,,,,,2015_Sep_15_1204,K,facesParametric,3,59.7068398808,
