img,num,basicLoop.thisRepN,basicLoop.thisTrialN,basicLoop.thisN,basicLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,key_resp_2.keys,key_resp_2.rt,basicRating1.response,basicRating1.rt,basicRating2.response,basicRating2.rt,basicRating3.response,basicRating3.rt,basicRating4.response,basicRating4.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,date,group,expName,participant,frameRate,
,,,,,,,,,,,,,,return,135.009816885,,,,,,,,,,,,,,,,,,,,,,,2015_Sep_24_1537,K,facesParametric,5,59.4781503834,
./basicStim/09F_SP_O.jpg,,0,0,0,40,,,,,,,,,,,None,None,None,None,SUP,6.812,None,None,,,,,,,,,,,,,,,2015_Sep_24_1537,K,facesParametric,5,59.4781503834,
./basicStim/03F_AN_O.jpg,,0,1,1,14,,,,,,,,,,,None,None,ANG,3.727,None,None,None,None,,,,,,,,,,,,,,,2015_Sep_24_1537,K,facesParametric,5,59.4781503834,
./basicStim/28M_SA_C.jpg,,0,2,2,67,,,,,,,,,,,None,None,None,None,None,None,NTR,11.89,,,,,,,,,,,,,,,2015_Sep_24_1537,K,facesParametric,5,59.4781503834,
./basicStim/02F_DI_O.jpg,,0,3,3,8,,,,,,,,,,,None,None,ANG,4.629,None,None,None,None,,,,,,,,,,,,,,,2015_Sep_24_1537,K,facesParametric,5,59.4781503834,
./basicStim/28M_DI_O.jpg,,0,4,4,64,,,,,,,,,,,None,None,None,None,DIS,2.719,None,None,,,,,,,,,,,,,,,2015_Sep_24_1537,K,facesParametric,5,59.4781503834,
./basicStim/21M_HA_O.jpg,,0,5,5,45,,,,,,,,,,,HAP,1.213,None,None,None,None,None,None,,,,,,,,,,,,,,,2015_Sep_24_1537,K,facesParametric,5,59.4781503834,
./basicStim/34M_SP_O.jpg,,0,6,6,75,,,,,,,,,,,None,None,None,None,SUP,1.831,None,None,,,,,,,,,,,,,,,2015_Sep_24_1537,K,facesParametric,5,59.4781503834,
./basicStim/02F_AN_O.jpg,,0,7,7,7,,,,,,,,,,,None,None,ANG,2.418,None,None,None,None,,,,,,,,,,,,,,,2015_Sep_24_1537,K,facesParametric,5,59.4781503834,
./basicStim/23M_DI_O.jpg,,0,8,8,50,,,,,,,,,,,SAD,1.396,None,None,None,None,None,None,,,,,,,,,,,,,,,2015_Sep_24_1537,K,facesParametric,5,59.4781503834,
./basicStim/36M_AN_O.jpg,,0,9,9,77,,,,,,,,,,,None,None,ANG,1.929,None,None,None,None,,,,,,,,,,,,,,,2015_Sep_24_1537,K,facesParametric,5,59.4781503834,
./basicStim/36M_NE_C.jpg,,0,10,10,83,,,,,,,,,,,None,None,None,None,None,None,NTR,2.953,,,,,,,,,,,,,,,2015_Sep_24_1537,K,facesParametric,5,59.4781503834,
./basicStim/09F_SA_C.jpg,,0,11,11,39,,,,,,,,,,,SAD,1.245,None,None,None,None,None,None,,,,,,,,,,,,,,,2015_Sep_24_1537,K,facesParametric,5,59.4781503834,
./basicStim/02F_HA_O.jpg,,0,12,12,10,,,,,,,,,,,HAP,1.185,None,None,None,None,None,None,,,,,,,,,,,,,,,2015_Sep_24_1537,K,facesParametric,5,59.4781503834,
./basicStim/09F_DI_O.jpg,,0,13,13,36,,,,,,,,,,,None,None,None,None,DIS,2.447,None,None,,,,,,,,,,,,,,,2015_Sep_24_1537,K,facesParametric,5,59.4781503834,
./basicStim/06F_SA_C.jpg,,0,14,14,25,,,,,,,,,,,SAD,3.053,None,None,None,None,None,None,,,,,,,,,,,,,,,2015_Sep_24_1537,K,facesParametric,5,59.4781503834,
./basicStim/06F_SP_O.jpg,,0,15,15,26,,,,,,,,,,,None,None,None,None,SUP,1.995,None,None,,,,,,,,,,,,,,,2015_Sep_24_1537,K,facesParametric,5,59.4781503834,
./basicStim/06F_HA_O.jpg,,0,16,16,24,,,,,,,,,,,HAP,1.771,None,None,None,None,None,None,,,,,,,,,,,,,,,2015_Sep_24_1537,K,facesParametric,5,59.4781503834,
./basicStim/03F_FE_O.jpg,,0,17,17,16,,,,,,,,,,,None,None,None,None,SUP,2.114,None,None,,,,,,,,,,,,,,,2015_Sep_24_1537,K,facesParametric,5,59.4781503834,
./basicStim/07F_DI_O.jpg,,0,18,18,29,,,,,,,,,,,None,None,None,None,DIS,1.007,None,None,,,,,,,,,,,,,,,2015_Sep_24_1537,K,facesParametric,5,59.4781503834,
./basicStim/21M_DI_O.jpg,,0,19,19,43,,,,,,,,,,,None,None,None,None,DIS,0.725,None,None,,,,,,,,,,,,,,,2015_Sep_24_1537,K,facesParametric,5,59.4781503834,
./basicStim/23M_FE_O.jpg,,0,20,20,51,,,,,,,,,,,None,None,FEA,3.959,None,None,None,None,,,,,,,,,,,,,,,2015_Sep_24_1537,K,facesParametric,5,59.4781503834,
./basicStim/06F_DI_O.jpg,,0,21,21,22,,,,,,,,,,,None,None,None,None,DIS,1.985,None,None,,,,,,,,,,,,,,,2015_Sep_24_1537,K,facesParametric,5,59.4781503834,
./basicStim/07F_AN_O.jpg,,0,22,22,28,,,,,,,,,,,None,None,ANG,1.36,None,None,None,None,,,,,,,,,,,,,,,2015_Sep_24_1537,K,facesParametric,5,59.4781503834,
./basicStim/34M_SA_C.jpg,,0,23,23,74,,,,,,,,,,,SAD,0.96,None,None,None,None,None,None,,,,,,,,,,,,,,,2015_Sep_24_1537,K,facesParametric,5,59.4781503834,
./basicStim/36M_SP_O.jpg,,0,24,24,82,,,,,,,,,,,None,None,None,None,SUP,1.459,None,None,,,,,,,,,,,,,,,2015_Sep_24_1537,K,facesParametric,5,59.4781503834,
./basicStim/36M_HA_O.jpg,,0,25,25,80,,,,,,,,,,,HAP,1.581,None,None,None,None,None,None,,,,,,,,,,,,,,,2015_Sep_24_1537,K,facesParametric,5,59.4781503834,
./basicStim/03F_DI_O.jpg,,0,26,26,15,,,,,,,,,,,None,None,None,None,DIS,1.241,None,None,,,,,,,,,,,,,,,2015_Sep_24_1537,K,facesParametric,5,59.4781503834,
./basicStim/21M_SA_C.jpg,,0,27,27,46,,,,,,,,,,,SAD,3.425,None,None,None,None,None,None,,,,,,,,,,,,,,,2015_Sep_24_1537,K,facesParametric,5,59.4781503834,
./basicStim/24M_FE_O.jpg,,0,28,28,58,,,,,,,,,,,None,None,None,None,None,None,NTR,30.576,,,,,,,,,,,,,,,2015_Sep_24_1537,K,facesParametric,5,59.4781503834,
./basicStim/06F_FE_O.jpg,,0,29,29,23,,,,,,,,,,,None,None,None,None,SUP,5.25,None,None,,,,,,,,,,,,,,,2015_Sep_24_1537,K,facesParametric,5,59.4781503834,
./basicStim/34M_FE_O.jpg,,0,30,30,72,,,,,,,,,,,None,None,FEA,3.118,None,None,None,None,,,,,,,,,,,,,,,2015_Sep_24_1537,K,facesParametric,5,59.4781503834,
./basicStim/23M_HA_O.jpg,,0,31,31,52,,,,,,,,,,,HAP,1.698,None,None,None,None,None,None,,,,,,,,,,,,,,,2015_Sep_24_1537,K,facesParametric,5,59.4781503834,
./basicStim/28M_FE_O.jpg,,0,32,32,65,,,,,,,,,,,None,None,FEA,1.083,None,None,None,None,,,,,,,,,,,,,,,2015_Sep_24_1537,K,facesParametric,5,59.4781503834,
./basicStim/36M_DI_O.jpg,,0,33,33,78,,,,,,,,,,,None,None,None,None,DIS,1.309,None,None,,,,,,,,,,,,,,,2015_Sep_24_1537,K,facesParametric,5,59.4781503834,
./basicStim/24M_SP_O.jpg,,0,34,34,61,,,,,,,,,,,None,None,None,None,SUP,1.513,None,None,,,,,,,,,,,,,,,2015_Sep_24_1537,K,facesParametric,5,59.4781503834,
./basicStim/24M_DI_O.jpg,,0,35,35,57,,,,,,,,,,,None,None,None,None,DIS,3.876,None,None,,,,,,,,,,,,,,,2015_Sep_24_1537,K,facesParametric,5,59.4781503834,
./basicStim/02F_SA_C.jpg,,0,36,36,11,,,,,,,,,,,SAD,0.994,None,None,None,None,None,None,,,,,,,,,,,,,,,2015_Sep_24_1537,K,facesParametric,5,59.4781503834,
./basicStim/01F_DI_O.jpg,,0,37,37,1,,,,,,,,,,,None,None,None,None,DIS,2.603,None,None,,,,,,,,,,,,,,,2015_Sep_24_1537,K,facesParametric,5,59.4781503834,
./basicStim/21M_SP_O.jpg,,0,38,38,47,,,,,,,,,,,None,None,None,None,SUP,1.007,None,None,,,,,,,,,,,,,,,2015_Sep_24_1537,K,facesParametric,5,59.4781503834,
./basicStim/06F_NE_C.jpg,,0,39,39,27,,,,,,,,,,,None,None,None,None,None,None,NTR,1.331,,,,,,,,,,,,,,,2015_Sep_24_1537,K,facesParametric,5,59.4781503834,
./basicStim/01F_SA_C.jpg,,0,40,40,4,,,,,,,,,,,SAD,1.282,None,None,None,None,None,None,,,,,,,,,,,,,,,2015_Sep_24_1537,K,facesParametric,5,59.4781503834,
./basicStim/02F_NE_C.jpg,,0,41,41,13,,,,,,,,,,,None,None,None,None,None,None,NTR,2.601,,,,,,,,,,,,,,,2015_Sep_24_1537,K,facesParametric,5,59.4781503834,
./basicStim/23M_NE_C.jpg,,0,42,42,55,,,,,,,,,,,None,None,None,None,None,None,NTR,0.659,,,,,,,,,,,,,,,2015_Sep_24_1537,K,facesParametric,5,59.4781503834,
./basicStim/28M_SP_O.jpg,,0,43,43,68,,,,,,,,,,,None,None,None,None,SUP,1.16,None,None,,,,,,,,,,,,,,,2015_Sep_24_1537,K,facesParametric,5,59.4781503834,
./basicStim/01F_SP_O.jpg,,0,44,44,5,,,,,,,,,,,None,None,None,None,SUP,1.431,None,None,,,,,,,,,,,,,,,2015_Sep_24_1537,K,facesParametric,5,59.4781503834,
./basicStim/28M_AN_O.jpg,,0,45,45,63,,,,,,,,,,,None,None,ANG,3.504,None,None,None,None,,,,,,,,,,,,,,,2015_Sep_24_1537,K,facesParametric,5,59.4781503834,
./basicStim/34M_HA_O.jpg,,0,46,46,73,,,,,,,,,,,HAP,1.085,None,None,None,None,None,None,,,,,,,,,,,,,,,2015_Sep_24_1537,K,facesParametric,5,59.4781503834,
./basicStim/09F_NE_C.jpg,,0,47,47,41,,,,,,,,,,,HAP,3.824,None,None,None,None,None,None,,,,,,,,,,,,,,,2015_Sep_24_1537,K,facesParametric,5,59.4781503834,
./basicStim/01F_NE_C.jpg,,0,48,48,6,,,,,,,,,,,None,None,None,None,None,None,NTR,2.131,,,,,,,,,,,,,,,2015_Sep_24_1537,K,facesParametric,5,59.4781503834,
./basicStim/23M_SP_O.jpg,,0,49,49,54,,,,,,,,,,,None,None,None,None,SUP,1.063,None,None,,,,,,,,,,,,,,,2015_Sep_24_1537,K,facesParametric,5,59.4781503834,
./basicStim/23M_AN_O.jpg,,0,50,50,49,,,,,,,,,,,None,None,ANG,1.145,None,None,None,None,,,,,,,,,,,,,,,2015_Sep_24_1537,K,facesParametric,5,59.4781503834,
./basicStim/03F_NE_C.jpg,,0,51,51,20,,,,,,,,,,,HAP,2.004,None,None,None,None,None,None,,,,,,,,,,,,,,,2015_Sep_24_1537,K,facesParametric,5,59.4781503834,
./basicStim/24M_AN_O.jpg,,0,52,52,56,,,,,,,,,,,None,None,None,None,DIS,2.401,None,None,,,,,,,,,,,,,,,2015_Sep_24_1537,K,facesParametric,5,59.4781503834,
./basicStim/07F_SP_O.jpg,,0,53,53,33,,,,,,,,,,,None,None,None,None,SUP,1.193,None,None,,,,,,,,,,,,,,,2015_Sep_24_1537,K,facesParametric,5,59.4781503834,
./basicStim/24M_NE_C.jpg,,0,54,54,62,,,,,,,,,,,HAP,2.761,None,None,None,None,None,None,,,,,,,,,,,,,,,2015_Sep_24_1537,K,facesParametric,5,59.4781503834,
./basicStim/07F_HA_O.jpg,,0,55,55,31,,,,,,,,,,,HAP,0.843,None,None,None,None,None,None,,,,,,,,,,,,,,,2015_Sep_24_1537,K,facesParametric,5,59.4781503834,
./basicStim/02F_SP_O.jpg,,0,56,56,12,,,,,,,,,,,None,None,None,None,SUP,4.98,None,None,,,,,,,,,,,,,,,2015_Sep_24_1537,K,facesParametric,5,59.4781503834,
./basicStim/03F_SA_C.jpg,,0,57,57,18,,,,,,,,,,,SAD,0.996,None,None,None,None,None,None,,,,,,,,,,,,,,,2015_Sep_24_1537,K,facesParametric,5,59.4781503834,
./basicStim/24M_HA_O.jpg,,0,58,58,59,,,,,,,,,,,HAP,1.849,None,None,None,None,None,None,,,,,,,,,,,,,,,2015_Sep_24_1537,K,facesParametric,5,59.4781503834,
./basicStim/09F_HA_O.jpg,,0,59,59,38,,,,,,,,,,,HAP,0.508,None,None,None,None,None,None,,,,,,,,,,,,,,,2015_Sep_24_1537,K,facesParametric,5,59.4781503834,
./basicStim/21M_NE_C.jpg,,0,60,60,48,,,,,,,,,,,HAP,1.478,None,None,None,None,None,None,,,,,,,,,,,,,,,2015_Sep_24_1537,K,facesParametric,5,59.4781503834,
./basicStim/09F_AN_O.jpg,,0,61,61,35,,,,,,,,,,,None,None,ANG,1.109,None,None,None,None,,,,,,,,,,,,,,,2015_Sep_24_1537,K,facesParametric,5,59.4781503834,
