,pNum,F_ANG,F_DIS,F_FEA,F_HAP,F_NTR,F_SAD,F_SUP,M_ANG,M_DIS,M_FEA,M_HAP,M_NTR,M_SAD,M_SUP,group
A,A_1,1.0,0.833333333333,0.5,1.0,0.166666666667,0.5,0.833333333333,1.0,0.833333333333,0.333333333333,1.0,0.5,0.833333333333,0.833333333333,A
A,A_10,1.0,0.833333333333,0.166666666667,1.0,1.0,1.0,0.5,1.0,0.666666666667,0.666666666667,1.0,0.833333333333,0.833333333333,0.5,A
A,A_11,1.0,1.0,0.833333333333,1.0,0.833333333333,0.666666666667,0.833333333333,0.833333333333,0.833333333333,0.833333333333,1.0,0.5,0.666666666667,1.0,A
A,A_12,0.833333333333,0.666666666667,0.166666666667,1.0,1.0,1.0,0.833333333333,0.5,0.666666666667,0.0,1.0,0.833333333333,0.5,0.833333333333,A
A,A_13,0.833333333333,1.0,0.5,1.0,0.833333333333,1.0,1.0,0.833333333333,0.833333333333,0.333333333333,1.0,1.0,0.5,1.0,A
A,A_14,1.0,1.0,0.0,1.0,1.0,0.833333333333,0.833333333333,1.0,0.666666666667,0.5,0.833333333333,1.0,0.666666666667,1.0,A
A,A_15,0.833333333333,0.833333333333,0.166666666667,1.0,1.0,0.666666666667,0.666666666667,0.666666666667,0.666666666667,0.166666666667,1.0,0.833333333333,0.5,0.833333333333,A
A,A_16,1.0,0.666666666667,0.5,1.0,1.0,0.833333333333,0.666666666667,1.0,0.666666666667,0.833333333333,1.0,1.0,1.0,0.5,A
A,A_17,1.0,1.0,1.0,1.0,1.0,0.833333333333,0.833333333333,1.0,0.666666666667,0.333333333333,1.0,1.0,1.0,0.833333333333,A
A,A_2,1.0,1.0,0.666666666667,1.0,1.0,0.666666666667,0.666666666667,1.0,0.666666666667,0.666666666667,1.0,1.0,0.666666666667,1.0,A
A,A_3,1.0,0.666666666667,0.166666666667,1.0,0.833333333333,0.833333333333,1.0,0.833333333333,0.166666666667,0.333333333333,1.0,1.0,0.666666666667,1.0,A
A,A_4,0.5,0.333333333333,0.166666666667,1.0,1.0,0.166666666667,0.833333333333,0.5,0.166666666667,0.166666666667,1.0,1.0,0.0,0.833333333333,A
A,A_5,0.833333333333,1.0,0.333333333333,0.833333333333,1.0,1.0,0.666666666667,0.833333333333,1.0,0.333333333333,1.0,1.0,0.666666666667,1.0,A
A,A_6,1.0,0.833333333333,0.333333333333,1.0,1.0,0.666666666667,0.833333333333,1.0,0.833333333333,0.833333333333,1.0,1.0,0.5,0.833333333333,A
A,A_7,1.0,0.833333333333,0.333333333333,1.0,0.833333333333,1.0,1.0,0.833333333333,0.666666666667,0.333333333333,1.0,1.0,0.666666666667,0.833333333333,A
A,A_8,0.833333333333,0.833333333333,0.833333333333,1.0,0.666666666667,1.0,0.666666666667,1.0,0.666666666667,1.0,1.0,0.666666666667,0.833333333333,1.0,A
