,id,f001,f002,f003,f004,f005,f006,f007,f008,f009,f010,f011,f012,f013,f014,f015,f016,f017,f018,f019,f020,f021,f022,f023,f024,f025,f026,f027,f028,f029,f030
A,A001,1,0,1,0,1,0,0,0,0,1,0,2,0,1,0,1,1,0,1,2,1,0,2,0,0,1,1,0,2,0
A,A002,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
A,A003,2,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,2
A,A004,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
A,A005,3,0,1,3,2,3,1,4,4,0,1,3,0,0,0,1,1,0,0,1,0,0,1,0,0,3,1,1,2,3
A,A006,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,2,1,0,1,0,0,1,1,0,0,0
A,A007,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
A,A008,1,0,1,1,0,0,1,2,0,0,0,2,0,0,0,1,2,0,1,2,0,0,1,0,0,1,0,0,0,1
A,A009,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1
A,A010,2,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1
A,A011,2,2,1,0,0,1,0,0,1,0,1,0,2,2,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0
A,A012,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1
A,A013,1,1,2,1,2,1,1,2,1,1,0,2,0,1,1,1,2,0,2,1,2,1,2,0,0,1,2,0,2,1
A,A014,4,1,1,1,1,0,1,1,0,1,4,0,0,0,0,0,1,0,2,1,0,0,0,0,1,0,1,0,1,1
A,A015,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
