g,p,fgender,00,01,02,03,04,05,06,07,08,09,10,group
A,A001,F,0.0,0.1,0.1,0.2,0.15,0.3,0.85,0.9,0.9,1.0,1.0,2
A,A001,M,0.0,0.1,0.2,0.2,0.25,0.5,0.7,0.85,0.95,1.0,1.0,2
A,A002,F,0.2,0.1,0.05,0.3,0.25,0.5,0.75,0.9,0.75,1.0,1.0,2
A,A002,M,0.05,0.25,0.35,0.2,0.35,0.55,0.6,0.9,0.85,1.0,1.0,2
A,A003,F,0.0,0.05,0.15,0.1,0.3,0.4,0.55,0.65,0.65,0.65,0.85,2
A,A003,M,0.0,0.0,0.05,0.05,0.3,0.25,0.45,0.5,0.8,0.95,0.95,2
A,A004,F,0.45,0.35,0.4,0.3,0.4,0.6,0.3,0.45,0.45,0.6,0.75,2
A,A004,M,0.35,0.3,0.35,0.35,0.4,0.45,0.35,0.3,0.45,0.5,0.5,2
A,A005,F,0.35,0.2,0.15,0.55,0.4,0.7,0.9,1.0,1.0,1.0,1.0,2
A,A005,M,0.2,0.2,0.3,0.45,0.4,0.65,0.9,1.0,1.0,1.0,1.0,2
A,A006,F,0.0,0.2,0.05,0.25,0.2,0.35,0.65,0.55,0.85,0.85,0.95,2
A,A006,M,0.1,0.4,0.3,0.3,0.45,0.5,0.85,0.85,0.9,0.9,1.0,2
A,A007,F,0.1,0.1,0.2,0.3,0.3,0.45,0.45,0.6,0.85,0.95,1.0,2
A,A007,M,0.15,0.1,0.25,0.25,0.5,0.55,0.7,0.8,0.85,0.95,1.0,2
A,A008,F,0.0,0.0,0.0,0.05,0.0,0.05,0.15,0.3,0.55,0.5,0.6,2
A,A008,M,0.2,0.15,0.35,0.25,0.35,0.4,0.45,0.8,0.5,0.8,0.85,2
A,A009,F,0.15,0.05,0.25,0.15,0.3,0.5,0.75,0.85,0.75,0.9,1.0,2
A,A009,M,0.25,0.1,0.2,0.3,0.45,0.65,0.75,0.9,0.95,1.0,0.9,2
A,A010,F,0.05,0.05,0.05,0.1,0.25,0.5,0.6,0.8,0.85,0.95,1.0,2
A,A010,M,0.05,0.05,0.05,0.25,0.4,0.35,0.75,0.85,0.95,1.0,1.0,2
A,A011,F,0.0,0.0,0.0,0.1,0.15,0.2,0.35,0.55,0.6,0.7,0.85,2
A,A011,M,0.05,0.15,0.1,0.05,0.1,0.3,0.45,0.7,0.65,0.6,0.85,2
A,A012,F,0.0,0.05,0.2,0.15,0.3,0.45,0.55,0.85,0.9,1.0,0.95,2
A,A012,M,0.1,0.15,0.2,0.25,0.3,0.45,0.6,0.9,0.95,1.0,0.9,2
A,A013,F,0.0,0.0,0.0,0.05,0.05,0.35,0.55,0.75,0.95,1.0,1.0,2
A,A013,M,0.0,0.15,0.05,0.2,0.3,0.4,0.5,0.6,0.7,0.85,0.9,2
A,A014,F,0.05,0.05,0.1,0.1,0.15,0.35,0.5,0.75,0.75,0.85,0.8,2
A,A014,M,0.15,0.3,0.25,0.2,0.55,0.45,0.55,0.85,0.85,0.9,0.95,2
A,A015,F,0.0,0.05,0.0,0.15,0.3,0.15,0.45,0.65,0.85,0.8,0.85,2
A,A015,M,0.1,0.05,0.1,0.1,0.3,0.3,0.45,0.6,0.55,0.65,0.8,2
A,A016,F,0.0,0.0,0.05,0.1,0.15,0.2,0.5,0.85,0.8,0.9,0.8,2
A,A016,M,0.0,0.05,0.05,0.05,0.2,0.4,0.65,0.75,0.8,0.85,0.9,2
A,A017,F,0.1,0.35,0.4,0.3,0.3,0.4,0.65,0.65,0.7,0.8,0.8,2
A,A017,M,0.25,0.05,0.05,0.2,0.35,0.5,0.5,0.5,0.65,0.7,0.8,2
