,p,0,1,2,3,4,5,6,7,8,9,10
A,A001,0.0,0.1,0.15,0.2,0.2,0.4,0.775,0.875,0.925,1.0,1.0
A,A002,0.125,0.175,0.2,0.25,0.3,0.525,0.675,0.9,0.8,1.0,1.0
A,A003,0.0,0.025,0.1,0.075,0.3,0.325,0.5,0.575,0.725,0.8,0.9
A,A004,0.4,0.325,0.375,0.325,0.4,0.525,0.325,0.375,0.45,0.55,0.625
A,A005,0.275,0.2,0.225,0.5,0.4,0.675,0.9,1.0,1.0,1.0,1.0
A,A006,0.05,0.3,0.175,0.275,0.325,0.425,0.75,0.7,0.875,0.875,0.975
A,A007,0.125,0.1,0.225,0.275,0.4,0.5,0.575,0.7,0.85,0.95,1.0
A,A008,0.1,0.075,0.175,0.15,0.175,0.225,0.3,0.55,0.525,0.65,0.725
A,A009,0.2,0.075,0.225,0.225,0.375,0.575,0.75,0.875,0.85,0.95,0.95
A,A010,0.05,0.05,0.05,0.175,0.325,0.425,0.675,0.825,0.9,0.975,1.0
A,A011,0.025,0.075,0.05,0.075,0.125,0.25,0.4,0.625,0.625,0.65,0.85
A,A012,0.05,0.1,0.2,0.2,0.3,0.45,0.575,0.875,0.925,1.0,0.925
A,A013,0.0,0.075,0.025,0.125,0.175,0.375,0.525,0.675,0.825,0.925,0.95
A,A014,0.1,0.175,0.175,0.15,0.35,0.4,0.525,0.8,0.8,0.875,0.875
A,A015,0.05,0.05,0.05,0.125,0.3,0.225,0.45,0.625,0.7,0.725,0.825
A,A016,0.0,0.025,0.05,0.075,0.175,0.3,0.575,0.8,0.8,0.875,0.85
A,A017,0.175,0.2,0.225,0.25,0.325,0.45,0.575,0.575,0.675,0.75,0.8
G,G001,0.025,0.1,0.175,0.1,0.325,0.5,0.65,0.85,0.875,0.9,0.95
G,G002,0.25,0.225,0.375,0.425,0.3,0.725,0.825,0.875,0.975,0.975,0.95
G,G003,0.1,0.125,0.225,0.125,0.3,0.35,0.625,0.725,0.875,0.95,0.975
G,G004,0.15,0.15,0.125,0.25,0.425,0.45,0.75,0.775,0.85,0.95,0.975
