,,F,F,F,F,M,M,M,M
,,guess,lapse,slope,threshold,guess,lapse,slope,threshold
A,A001,0.106095834253,0.045968349839,30.0230746092,0.538618614895,0.0602139650767,-0.0329203480027,8.43788791285,0.527474470251
A,A002,0.128144372492,0.0505334237738,11.4042482653,0.51550149395,0.141568778062,-0.0564995447936,6.74435815777,0.556186596137
A,A003,-0.041610748914,0.187949539624,5.70027912436,0.485626760874,-0.0371886145286,-0.202455876346,5.24682856967,0.693391972873
A,A005,0.262097860844,-0.0175752476778,11.898831059,0.471887473971,0.230313899471,-0.0262712430396,10.7813550543,0.476160556045
A,A006,0.0351157732713,-0.0341126909808,5.78019435594,0.607114377069,0.24923333541,0.0465457365418,10.6726193737,0.509248846962
A,A007,0.0305473530151,-0.46690194929,3.72947021491,0.77391575592,0.0360473888663,-0.0452507938062,5.26802637797,0.483101780287
A,A008,0.01034292807,0.421147173807,15.2956818545,0.683254077011,0.109035012684,-0.144660260623,3.41432082244,0.741930806389
A,A009,0.125838822047,0.0934836709066,11.721717784,0.503591387007,0.160795443447,0.0411573792205,9.93553988041,0.463106379158
A,A010,0.00834923178197,0.00346548817144,8.00872117281,0.533883634358,0.0185449364221,-0.0517973432225,7.44810251529,0.518686810418
A,A011,-0.0395075841647,0.0151546846391,5.37135509246,0.686932957688,0.0809791735655,0.280694491015,14.9001272449,0.562946822407
A,A012,0.0276042013174,-0.0381280179861,7.15212457773,0.547491825468,0.154389066871,0.017131849242,10.6717586533,0.555223859216
A,A013,-0.0144204890095,-0.0250510463621,10.4170069133,0.583168547084,-0.0948148180059,-0.202215742216,3.51631055607,0.649982138261
A,A014,0.0597214943232,0.172271317472,11.597475898,0.556309806577,0.178847537158,-0.00346337546117,6.34180317759,0.564849304593
A,A015,0.040572781724,0.108728345296,9.22944847081,0.604322447552,0.015142089392,0.160856880871,5.10723905679,0.595951880281
A,A016,0.0509556299644,0.145576778301,18.5903656203,0.57838137382,0.0134850254157,0.134342722979,11.2257932327,0.515938256872
A,A017,0.254799563465,0.192131281896,8.74814962448,0.572572582835,0.0703801066771,0.18941700617,5.40395176373,0.544188069939
G,G001,0.0640774539413,0.0460785862496,14.7384233313,0.505508485344,0.0413465655309,0.0280886000512,6.05228363555,0.525716860317
G,G003,0.0372939510628,0.095106397277,12.3677980613,0.561463129589,0.15217195893,-0.169131091644,5.22271580597,0.629384446753
G,G004,0.0109428357931,0.0668816946149,8.63400076485,0.515697248997,0.191592075814,-0.0322062266177,6.29397566527,0.510236752261
G,G005,0.0570263589247,0.0149884186798,11.7729602972,0.470948887367,0.0929033536722,0.0495079958836,6.60742081378,0.418579281974
G,G006,0.0910336937406,0.0785171446229,14.7112832951,0.52636600761,0.129328325409,0.0262964864039,10.0681634884,0.478122781674
G,G007,0.078407330566,-0.0020999812167,7.65432728731,0.471328214857,0.0884507308212,0.00466980363392,7.0082460904,0.529986320796
