,id,Blame externalization,Rebellious nonconformity,Stress immunity,Social influence,Coldheartedness,Machiavellian egocentricity,Carefree nonplanfulness,Fearlessness,sum_ppi_r,insincerity,group
A,A001,18.0,57.0,46.0,53.0,27.0,35.0,24.0,25.0,285.0,53.0,2
A,A002,22.0,41.0,46.0,46.0,30.0,32.0,30.0,9.0,256.0,43.0,2
A,A003,34.0,56.0,37.0,46.0,32.0,31.0,30.0,24.0,290.0,41.0,2
A,A004,19.0,46.0,51.0,34.0,38.0,32.0,22.0,18.0,260.0,47.0,2
A,A005,45.0,82.0,37.0,37.0,37.0,46.0,38.0,27.0,349.0,31.0,2
A,A006,31.0,53.0,42.0,43.0,29.0,40.0,24.0,16.0,278.0,40.0,2
A,A007,23.0,49.0,56.0,49.0,39.0,35.0,32.0,20.0,303.0,42.0,2
A,A008,18.0,47.0,54.0,46.0,31.0,27.0,26.0,16.0,265.0,38.0,2
A,A009,35.0,35.0,35.0,43.0,19.0,31.0,38.0,8.0,244.0,41.0,2
A,A010,18.0,74.0,38.0,59.0,30.0,39.0,27.0,17.0,302.0,32.0,2
A,A011,21.0,78.0,48.0,47.0,34.0,32.0,32.0,24.0,316.0,37.0,2
A,A012,25.0,46.0,39.0,43.0,24.0,34.0,30.0,15.0,256.0,31.0,2
A,A013,31.0,56.0,38.0,45.0,39.0,36.0,35.0,17.0,297.0,37.0,2
A,A014,34.0,44.0,31.0,42.0,29.0,31.0,41.0,12.0,264.0,47.0,2
A,A015,25.0,40.0,45.0,50.0,23.0,34.0,17.0,24.0,258.0,50.0,2
A,A016,29.0,54.0,45.0,41.0,34.0,27.0,36.0,17.0,283.0,55.0,2
A,A017,25.0,43.0,43.0,51.0,24.0,30.0,22.0,20.0,258.0,42.0,2
G,G001,31.0,51.0,50.0,53.0,25.0,32.0,21.0,21.0,284.0,40.0,0
G,G002,51.0,46.0,42.0,38.0,28.0,38.0,21.0,26.0,290.0,41.0,0
G,G003,36.0,50.0,39.0,34.0,33.0,36.0,27.0,19.0,274.0,43.0,0
G,G004,55.0,74.0,47.0,51.0,32.0,35.0,32.0,24.0,350.0,43.0,0
G,G005,33.0,41.0,37.0,36.0,30.0,36.0,24.0,9.0,246.0,32.0,0
G,G006,43.0,39.0,49.0,42.0,30.0,29.0,30.0,18.0,280.0,59.0,0
G,G007,30.0,78.0,48.0,54.0,36.0,34.0,38.0,18.0,336.0,36.0,0
G,G008,32.0,48.0,45.0,48.0,29.0,32.0,30.0,11.0,275.0,43.0,0
G,G009,23.0,40.0,32.0,35.0,36.0,27.0,24.0,15.0,232.0,41.0,0
G,G010,21.0,77.0,57.0,65.0,34.0,51.0,33.0,18.0,356.0,37.0,0
G,G011,24.0,48.0,51.0,46.0,29.0,29.0,26.0,14.0,267.0,44.0,0
G,G012,32.0,90.0,39.0,43.0,34.0,39.0,27.0,25.0,329.0,35.0,0
G,G013,40.0,68.0,60.0,35.0,47.0,40.0,30.0,13.0,333.0,42.0,0
G,G014,36.0,54.0,42.0,48.0,45.0,39.0,24.0,23.0,311.0,34.0,0
G,G015,35.0,41.0,41.0,48.0,30.0,28.0,26.0,18.0,267.0,38.0,0
G,G016,21.0,42.0,61.0,58.0,34.0,35.0,19.0,25.0,295.0,49.0,0
G,G017,26.0,76.0,40.0,56.0,27.0,37.0,23.0,22.0,307.0,33.0,0
G,G018,18.0,30.0,52.0,48.0,31.0,30.0,23.0,15.0,247.0,57.0,0
G,G019,43.0,73.0,25.0,32.0,32.0,46.0,35.0,10.0,296.0,38.0,0
G,G020,29.0,60.0,45.0,43.0,31.0,35.0,32.0,22.0,297.0,37.0,0
G,G021,27.0,78.0,59.0,64.0,36.0,42.0,30.0,27.0,363.0,39.0,0
G,G022,38.0,42.0,21.0,35.0,37.0,42.0,41.0,7.0,263.0,40.0,0
G,G023,31.0,37.0,51.0,49.0,28.0,27.0,19.0,26.0,268.0,47.0,0
G,G024,24.0,51.0,45.0,41.0,29.0,28.0,27.0,20.0,265.0,43.0,0
G,G025,49.0,39.0,40.0,44.0,24.0,29.0,22.0,10.0,257.0,52.0,0
G,G026,44.0,51.0,32.0,40.0,26.0,32.0,29.0,7.0,261.0,38.0,0
G,G027,35.0,72.0,41.0,37.0,44.0,35.0,34.0,20.0,318.0,41.0,0
G,G028,19.0,45.0,47.0,38.0,42.0,35.0,29.0,17.0,272.0,47.0,0
G,G030,36.0,34.0,53.0,39.0,31.0,26.0,23.0,17.0,259.0,42.0,0
K,K001,29.0,45.0,52.0,51.0,27.0,33.0,35.0,17.0,289.0,44.0,1
K,K002,29.0,59.0,40.0,39.0,30.0,31.0,36.0,24.0,288.0,47.0,1
K,K003,44.0,38.0,48.0,21.0,24.0,23.0,29.0,7.0,234.0,57.0,1
K,K004,40.0,46.0,45.0,36.0,29.0,32.0,35.0,21.0,284.0,49.0,1
